"","country","year","v2csantimv","v2svstterr","v2svinlaut","v2clrgunev","e_Fiscal_Reliance","e_Civil_War","e_miinterc","v2csanmvch_9","v2clsocgrp","v2pepwrsoc","inflation","inflationm1","inflationm2","inflationm3","inflatavg","debt","debtm1","debtm2","debtm3","debtavg","ctrySize","popDensity","national","trust1","trust2"
"38","China",1990,-1.44516498962619,97.8,2.37302108422839,-1.48808104167557,NA,0,0,0.2,-0.540475669964958,-1.04612293444224,3.052290121,18.24563836,18.81181794,7.233835531,14.7637639436667,55.301411,44.932462,42.438956,35.339512,40.9036433333333,3092.40197904477,120.915506084734,1.726,1.36,NA
"39","China",1995,-1.44516498962619,97.8,2.37302108422839,-1.48808104167557,NA,0,0,0.2,-0.540475669964958,-1.02423804175589,16.78945197,24.25734106,14.61007864,6.35398134,15.0738003466667,118.089788,100.456856,85.927702,72.427953,86.270837,3092.40036217822,128.336621134526,1.67266666666667,1.386,NA
"40","China",2001,-1.66813543772295,97.8,2.37302108422839,-1.47990327027178,NA,0,NA,0.2,-0.809776501546189,-0.906614542149433,0.719808092,0.256518286,-1.358514164,-0.849543449,-0.650513109,184.075276,145.666447,148.585022,144.006763,146.086077333333,3092.39619065863,135.473048750848,1.772,1.328,NA
"41","China",2007,-1.49756829541552,91.1538461538462,2.37302108422839,-1.18321307273113,NA,NA,NA,0.166666666666667,-0.823993851986751,-0.906614542149433,4.767210585,1.46607832,1.813995156,3.888815681,2.389629719,373.457376,323.134636,283.30982,245.763235,284.069230333333,3092.39564092307,140.376588050196,1.99246609743847,1.29080863887494,1.17880462079357
"42","China",2012,-1.06553887525237,91.1538461538462,2.37302108422839,-1.18321307273113,NA,NA,NA,0.263157894736842,-0.782684276059365,-0.741423606975528,2.643051771,5.410918114,3.325774987,-0.700630985,2.678687372,1138.247396,1044.355045,734.465434,447.662212,742.160897,3092.39567326046,143.87139360204,1.39260869565217,1.2304347826087,1.17695652173913
"43","Colombia",1997,0.847333609439453,64.2,1.3896833998281,-1.87356046923347,NA,0,1,0,0.544168420982915,-0.125503467114893,18.4681276,20.79800807,20.89346612,22.84786022,21.51311147,32.139648,29.057066,25.203862,22.097956,25.4529613333333,1068.5270235235,34.8313753943218,1.18421921426213,1.86365137008914,NA
"44","Colombia",1998,0.847333609439453,62,1.3896833998281,-1.87356046923347,NA,1,1,0,0.544168420982915,-0.125503467114893,18.67620156,18.4681276,20.79800807,20.89346612,20.0532005966667,33.283764,32.139648,29.057066,25.203862,28.800192,1068.5270235235,35.3619305993691,1.18524699599466,1.87817089452603,NA
"45","Colombia",2005,0.575357713442675,72.4,1.3896833998281,-1.87356046923347,NA,1,NA,0,0.08558980404249,-0.125503467114893,5.048116153,5.904678173,7.131186269,6.350125349,6.461996597,37.465247,38.190545,37.273762,33.534031,36.3327793333333,1068.5270235235,39.0136403785489,1.10677685950413,1.82512396694215,1.58776859504132
"46","Colombia",2012,0.456075847771261,78.4,1.3896833998281,-1.77431119433213,NA,NA,NA,0,0.2801537502968,0.356107089185103,3.176934374,3.411616121,2.278220158,4.202933108,3.29758979566667,76.781503,73.813023,64.096821,53.330961,63.746935,1068.52608765533,42.2545966651645,1.2255291005291,1.93055555555556,1.65410052910053
"47","Croatia",1996,-0.417037627627448,96.25,1.78331789713085,-1.67507430742387,NA,0,0,0.25,-0.746306305472987,-0.636463645076999,4.3,3.95010395,107.3275862,1500,537.092563383333,NA,NA,NA,NA,NA,237.92856070678,80.2786709539121,1.68060200668896,1.50083612040134,NA
