"Data Source","World Development Indicators",

"Last Updated Date","2018-01-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"China","CHN","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","4737000000","2475000000","-32000000","-12592000000","-7589000000","291000000","-4060000000","-4927000000","10668000000","11601000000","4998000000","-11497000000","7611000000","11957590000","17551000000","42824000000","43837000000","30641000000","28873534000","28084000000","37383087664.0194","35821129066.2935","51174382539.95","124626797517.211","208918924500.594","308036028783.353","348832533153.933","220130401366.781","223023871712.8","181903738912.674","231844876748.002","235379561604.117","221299246947.273","357870764281.273","249913893417.361","",
"Cote d'Ivoire","CIV","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1155251038.89514","1720535507.29727","1013710008.51359","1686080818.37048","2653448252.68494","1817856315.17346","4184181495.69119","1120608760.96328","707696149.123615","1713006417.71775","1150007812.9904","","",
"Cameroon","CMR","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","-83441982.064092","-113269825.89107","-29898226.9625343","-278635573.065498","-291979449.766882","-184415237.087746","-135015968.719592","183061631.193441","52953396.9513338","-34391559.2479234","-387174189.623418","178010129.488646","160340655.970738","32358205.6504338","133920860.568512","392796451.212978","152244693.052732","239569299.468757","432616810.541029","213784342.578023","102706262.893822","84013816.2756611","129594140.800891","166266916.821959","-101684153.398618","-112743371.54174","-308587066.664793","-147684541.796007","-111419051.174484","211717525.27963","340432523.02847","-718629350.602445","-920171992.510347","-763683723.503237","-703099862.635031","-774546487.722699","-817154335.265667","-1076318580.00332","-1053344355.01005","","",
"Congo, Dem. Rep.","COD","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1113600000","-659800000","-334500000","-1127400000","-1745200000","-1838700000","-1593596062.16461","-1977754098.94109","-1494674269.45546","-3152502304.65964","-2308129161.18307","-1913510989.31286","",
"Congo, Rep.","COG","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","-164303288.917736","-17388921.6249079","-4027838.84285271","-360168096.410826","-175063619.537075","-222942986.171849","339788843.207698","63802277.0161005","-393452720.850194","21887519.9324754","-147370362.575908","229774586.171165","206049413.960197","-74085388.7210669","69137011.2262912","-170220232.08401","-582667982.694106","28159960.5861105","223546978.242445","363866959.720154","69566703.193832","314866450.076866","1434686852.19402","665610326.461891","835577986.804039","1124053075.01724","1644567446.75845","2243168646.41228","1902311751.01078","-693868242.244155","2290180803.51855","-638442932.169936","1706499520.84736","3537574430.85986","3312237256.52205","2309859350.46296","370375125.062255","","","",
"Colombia","COL","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","-95000000.0004839","-81000000.000275","-156000000.000572","-312724139.996097","-28342990","121474590.003674","-217224400.000452","102178950","468332519.999669","647016799.997133","525955999.999809","627264000","-125595840.00049","-1719060600","-2254764420.00083","-1952000000","-125000000","-595000000","1346000000","1325000000","565000000","1200000000","1821000000","2740000000","1188700000","-1458000000","-3277472545.01562","-3718523193.47664","-3284689500.90324","-4138083502.73631","-3911324471.8698","571576111.758648","1315805724.24847","-967925822.465923","-1326890837.99973","-1022061948.62638","-441984619.70256","-708829178.463848","-1933707279.27606","-3409559835.38647","-2362990532.62398","-837503718.022326","-2166064434.96937","640965267.707268","-1185746721.6145","-3158933163.95452","-11860851534.9043","-18556978550.2137","-13015689733.6346","",
"Comoros","COM","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","-20863530.0505058","-32672239.996395","-28377667.6298346","-28543851.0482829","-60608354.3079585","-44206110.768717","-43684291.9499874","-59913351.1051348","-48256530.9739674","-39663880.9774123","-54355634.888075","-50259386.4426194","-63221232.2281689","-46765050.0863165","-50912728.2145997","-57525289.0574482","","","","","","","","-41186008.6759304","-62562181.0231816","-81278800.9967737","-95542907.3171759","-119865182.863353","-181196083.076623","-175887958.022809","-183892242.620308","-207336939.895914","-232111227.126726","","","","","",
"Cabo Verde","CPV","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","-46536366.0829111","-55612909.5879837","-64408409.6937036","-68241585.2362666","-79421428.7686417","-77900846.295827","-80007439.8716623","-62258832.5392584","-64398042.8893374","-66453372.4846346","-66317321.9563243","-78070975.1274846","-88449596.4143772","-92109341.5328377","-101217878.39888","-143144015.456788","-132201290.97439","-168612522.769134","-210650459.750174","-176152459.656849","-152460916.538475","-190267155.927265","-225514827.123698","-185971949.690271","-183700150.407371","-225337898.499604","-294289161.487196","-346009421.351242","-288058799.883277","-331430079.269323","-467154712.441621","-472199598.608701","-510976329.132784","-483882198.337561","-591799700.548746","-426947602.747579","-317313920.34435","-341047694.012877","-245640996.003995","-274291299.714199","",
"Costa Rica","CRI","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","-166400000","-272300000","-427100000","-466300000","-134200000","66000000","-20000000","15800000","-68900000","39000000","-192500000","-91300000","-236700000","-383200000","-42900000","-341100000","-537900000","-270900000","-266542000","-228910000","-357416000","-165450000","1051211410.40579","-45669711.1658862","78881229.5104182","-267865429.090368","-283537864.928698","-77105144.6754189","-360655999.127378","-611014762.399058","-1271487792.72421","-2407550798.86127","95700175.1661456","-415750007.24152","-1194544783.87744","-1363669066.71151","-995209335.840897","-789427970.823827","-19099020.6307626","693701751.228017","",
"Caribbean small states","CSS","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
