;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Interest Rates selected indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Financial, Interest Rates, Monetary Policy-Related Interest Rate, Percent per annum;"getSelectionEl(0,6,""Indicator"")";"getSelectionEl(0,6,""Indicator"")";"getSelectionEl(0,6,""Indicator"")";;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Source: International Financial Statistics (IFS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Country;Scale;Base Year;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017Q1
;Sao Tome and Principe;Units;;25,00;45,00;45,00;30,00;32,00;50,00;35,00;55,00;29,50;17,00;17,00;15,50;15,50;14,50;14,50;18,20;28,00;28,00;28,00;16,00;15,00;15,00;14,00;14,00;12,00;10,00;10,00;10,00
;Sierra Leone;Units;;55,00;55,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;20,00;10,00;10,00;9,50;11,00;11,00
;South Africa;Units;;...;...;...;...;...;...;...;...;...;12,00;12,00;9,50;13,50;8,00;7,50;7,00;9,00;11,00;11,50;7,00;5,50;5,50;5,00;5,00;5,75;6,25;7,00;7,00
;Western Hemisphere;;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
;Bahamas, The;Units;;9,00;9,00;7,50;7,00;6,50;6,50;6,50;6,50;6,50;5,75;5,75;5,75;5,75;5,75;5,75;5,25;5,25;5,25;5,25;5,25;5,25;4,50;4,50;4,50;4,50;4,50;4,00;4,00
;Belize;Units;;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;18,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00
;Brazil;Units;;...;...;...;...;...;...;...;...;...;...;15,75;19,00;25,00;16,50;17,75;18,00;13,25;11,25;13,75;8,75;10,75;11,00;7,25;10,00;11,75;14,25;13,75;12,25
;Chile;Units;;...;...;...;...;...;...;7,50;6,50;8,33;5,00;5,00;6,50;3,00;2,45;2,25;4,50;5,25;6,00;8,25;0,50;3,12;5,25;5,00;4,50;3,00;3,35;3,50;3,13
;Colombia;Units;;...;...;...;...;...;...;33,00;27,00;26,00;12,00;12,00;8,50;5,25;7,25;6,50;6,00;7,50;9,50;9,50;3,50;3,00;4,75;4,25;3,25;4,50;5,75;7,50;7,00
;Costa Rica;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;5,52;10,00;9,00;6,50;5,00;5,00;3,75;5,25;2,25;1,75;1,75
;Dominican Republic;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;7,00;10,00;8,00;7,00;9,50;4,00;5,00;6,80;5,00;6,25;6,25;5,00;5,50;5,50
